Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 08/06  17:00:00,289.519377668,25.4178222887,46.4004889268,0.0,27.9495200658,27.7759469175,8.16955664847,0.0,7.005,1.16455664847
 08/06  18:00:00,281.653375667,25.4178222887,37.3609634066,0.0,13.9747600329,18.6919646116,4.69,0.0,4.67,0.02
 08/06  19:00:00,267.847071167,25.4178222887,33.2999983196,0.0,13.9747600329,18.6919646116,5.83446256992,0.0,4.67,1.16446256992
 08/06  20:00:00,261.445338087,25.4178222887,28.9006412762,0.0,13.9747600329,18.6919646116,4.69,0.0,4.67,0.02
 08/06  21:00:00,234.795612831,25.4178222887,37.993429315,0.0,13.9747600329,18.6919646116,4.69,0.0,4.67,0.02
 08/06  22:00:00,136.984067891,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91555565532,0.0,1.75125,1.16430565532
 08/06  23:00:00,163.803158185,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 08/06  24:00:00,145.147917509,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 08/07  01:00:00,137.309459309,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49921501142,0.0,2.335,1.16421501142
 08/07  02:00:00,134.261272247,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/07  03:00:00,132.944490217,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/07  04:00:00,140.44513346,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
